t_s,wall_time,kind,target_yaw,current_yaw,turn_rpm,base_rpm,yaw_meas_deg,yaw_target_deg,att_roll,att_pitch,att_yaw,rpm_m1,rpm_m2,rpm_m3,rpm_m4,enc_m1,enc_m2,enc_m3,enc_m4,cmd_target,cmd_base,cmd_max_turn,note
1.935517,2026-07-13T11:25:21.751+08:00,attitude,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,
2.136993,2026-07-13T11:25:21.953+08:00,motor_rpm,,,,,,,,,,-51,51,0,0,,,,,,,,
2.138352,2026-07-13T11:25:21.954+08:00,angle_loop,30,29,0,50,29.0,30.0,,,,,,,,,,,,,,,
2.139113,2026-07-13T11:25:21.955+08:00,attitude,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,
2.139851,2026-07-13T11:25:21.956+08:00,encoder,,,,,,,,,,,,,,-502,-4732,0,0,,,,
2.14064,2026-07-13T11:25:21.957+08:00,motor_rpm,,,,,,,,,,-52,51,0,0,,,,,,,,
2.141685,2026-07-13T11:25:21.958+08:00,angle_loop,30,29,0,50,29.0,30.0,,,,,,,,,,,,,,,
2.14248,2026-07-13T11:25:21.958+08:00,attitude,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,
2.216643,2026-07-13T11:25:22.033+08:00,motor_rpm,,,,,,,,,,-51,51,0,0,,,,,,,,
2.217945,2026-07-13T11:25:22.034+08:00,angle_loop,30,29,0,50,29.0,30.0,,,,,,,,,,,,,,,
2.436077,2026-07-13T11:25:22.252+08:00,attitude,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,
2.437106,2026-07-13T11:25:22.253+08:00,encoder,,,,,,,,,,,,,,-124,-5108,0,0,,,,
2.437895,2026-07-13T11:25:22.254+08:00,motor_rpm,,,,,,,,,,-69,69,0,0,,,,,,,,
2.43941,2026-07-13T11:25:22.255+08:00,angle_loop,30,29,0,50,29.0,30.0,,,,,,,,,,,,,,,
2.440049,2026-07-13T11:25:22.256+08:00,attitude,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,
2.530242,2026-07-13T11:25:22.346+08:00,motor_rpm,,,,,,,,,,-50,48,0,0,,,,,,,,
2.531574,2026-07-13T11:25:22.347+08:00,angle_loop,30,29,0,50,29.0,30.0,,,,,,,,,,,,,,,
2.532242,2026-07-13T11:25:22.348+08:00,attitude,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,
2.532946,2026-07-13T11:25:22.349+08:00,encoder,,,,,,,,,,,,,,44,-5268,0,0,,,,
2.584215,2026-07-13T11:25:22.400+08:00,cmd_angle_stop,,,,,,,,,,,,,,,,,,,,,angle_stop
2.584242,2026-07-13T11:25:22.400+08:00,record_stop,,,,,,,,,,,,,,,,,,,,,recording stopped
