t_s,wall_time,kind,target_yaw,current_yaw,turn_rpm,base_rpm,yaw_meas_deg,yaw_target_deg,att_roll,att_pitch,att_yaw,rpm_m1,rpm_m2,rpm_m3,rpm_m4,enc_m1,enc_m2,enc_m3,enc_m4,cmd_target,cmd_base,cmd_max_turn,note
4e-06,2026-07-13T11:25:19.816+08:00,record_start,,,,,,,,,,,,,,,,,,,,,recording started
0.000616,2026-07-13T11:25:19.817+08:00,cmd_set_angle,,,,,,,,,,,,,,,,,,30,50,0,set_angle
0.222652,2026-07-13T11:25:20.039+08:00,motor_rpm,,,,,,,,,,0,0,0,0,,,,,,,,
0.224044,2026-07-13T11:25:20.040+08:00,angle_loop,30,28,0,0,28.0,30.0,,,,,,,,,,,,,,,
0.224721,2026-07-13T11:25:20.041+08:00,attitude,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,
0.225465,2026-07-13T11:25:20.041+08:00,encoder,,,,,,,,,,,,,,-2080,-2565,0,0,,,,
0.631715,2026-07-13T11:25:20.448+08:00,motor_rpm,,,,,,,,,,-33,80,0,0,,,,,,,,
0.634048,2026-07-13T11:25:20.450+08:00,angle_loop,30,24,13,50,24.0,30.0,,,,,,,,,,,,,,,
0.634793,2026-07-13T11:25:20.451+08:00,attitude,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,
0.83711,2026-07-13T11:25:20.653+08:00,motor_rpm,,,,,,,,,,-39,65,0,0,,,,,,,,
0.838851,2026-07-13T11:25:20.655+08:00,angle_loop,30,27,6,50,27.0,30.0,,,,,,,,,,,,,,,
0.839592,2026-07-13T11:25:20.656+08:00,attitude,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,
0.840334,2026-07-13T11:25:20.656+08:00,encoder,,,,,,,,,,,,,,-1910,-3315,0,0,,,,
0.841087,2026-07-13T11:25:20.657+08:00,motor_rpm,,,,,,,,,,-44,55,0,0,,,,,,,,
0.842691,2026-07-13T11:25:20.659+08:00,angle_loop,30,29,0,50,29.0,30.0,,,,,,,,,,,,,,,
0.843337,2026-07-13T11:25:20.659+08:00,attitude,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,
0.932923,2026-07-13T11:25:20.749+08:00,motor_rpm,,,,,,,,,,-49,50,0,0,,,,,,,,
0.934714,2026-07-13T11:25:20.751+08:00,angle_loop,30,29,0,50,29.0,30.0,,,,,,,,,,,,,,,
0.935379,2026-07-13T11:25:20.751+08:00,attitude,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,
0.936103,2026-07-13T11:25:20.752+08:00,encoder,,,,,,,,,,,,,,-1698,-3536,0,0,,,,
1.040651,2026-07-13T11:25:20.857+08:00,motor_rpm,,,,,,,,,,-49,49,0,0,,,,,,,,
1.042054,2026-07-13T11:25:20.858+08:00,angle_loop,30,29,0,50,29.0,30.0,,,,,,,,,,,,,,,
1.042757,2026-07-13T11:25:20.859+08:00,attitude,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,
1.118011,2026-07-13T11:25:20.934+08:00,motor_rpm,,,,,,,,,,-49,47,0,0,,,,,,,,
1.119551,2026-07-13T11:25:20.935+08:00,angle_loop,30,29,0,50,29.0,30.0,,,,,,,,,,,,,,,
1.335702,2026-07-13T11:25:21.152+08:00,attitude,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,
1.337024,2026-07-13T11:25:21.153+08:00,encoder,,,,,,,,,,,,,,-1335,-3889,0,0,,,,
1.337848,2026-07-13T11:25:21.154+08:00,motor_rpm,,,,,,,,,,-68,67,0,0,,,,,,,,
1.340075,2026-07-13T11:25:21.156+08:00,angle_loop,30,29,0,50,29.0,30.0,,,,,,,,,,,,,,,
1.340728,2026-07-13T11:25:21.157+08:00,attitude,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,
1.429073,2026-07-13T11:25:21.245+08:00,motor_rpm,,,,,,,,,,-50,51,0,0,,,,,,,,
1.430484,2026-07-13T11:25:21.246+08:00,angle_loop,30,29,0,50,29.0,30.0,,,,,,,,,,,,,,,
1.431152,2026-07-13T11:25:21.247+08:00,attitude,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,
1.431865,2026-07-13T11:25:21.248+08:00,encoder,,,,,,,,,,,,,,-1165,-4063,0,0,,,,
1.539723,2026-07-13T11:25:21.356+08:00,motor_rpm,,,,,,,,,,-48,50,0,0,,,,,,,,
1.54108,2026-07-13T11:25:21.357+08:00,angle_loop,30,29,0,50,29.0,30.0,,,,,,,,,,,,,,,
1.541816,2026-07-13T11:25:21.358+08:00,attitude,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,
1.633414,2026-07-13T11:25:21.449+08:00,motor_rpm,,,,,,,,,,-49,50,0,0,,,,,,,,
1.634867,2026-07-13T11:25:21.451+08:00,angle_loop,30,29,0,50,29.0,30.0,,,,,,,,,,,,,,,
1.635632,2026-07-13T11:25:21.452+08:00,attitude,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,
1.636397,2026-07-13T11:25:21.452+08:00,encoder,,,,,,,,,,,,,,-948,-4285,0,0,,,,
1.726675,2026-07-13T11:25:21.543+08:00,motor_rpm,,,,,,,,,,-50,50,0,0,,,,,,,,
1.728074,2026-07-13T11:25:21.544+08:00,angle_loop,30,29,0,50,29.0,30.0,,,,,,,,,,,,,,,
1.728831,2026-07-13T11:25:21.545+08:00,attitude,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,
1.836988,2026-07-13T11:25:21.653+08:00,motor_rpm,,,,,,,,,,-50,51,0,0,,,,,,,,
1.838411,2026-07-13T11:25:21.654+08:00,angle_loop,30,29,0,50,29.0,30.0,,,,,,,,,,,,,,,
1.839177,2026-07-13T11:25:21.655+08:00,attitude,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,
1.839994,2026-07-13T11:25:21.656+08:00,encoder,,,,,,,,,,,,,,-726,-4508,0,0,,,,
1.933498,2026-07-13T11:25:21.749+08:00,motor_rpm,,,,,,,,,,-51,51,0,0,,,,,,,,
1.934852,2026-07-13T11:25:21.751+08:00,angle_loop,30,29,0,50,29.0,30.0,,,,,,,,,,,,,,,
