t_s,wall_time,kind,target_yaw,current_yaw,turn_rpm,base_rpm,yaw_meas_deg,yaw_target_deg,att_roll,att_pitch,att_yaw,rpm_m1,rpm_m2,rpm_m3,rpm_m4,enc_m1,enc_m2,enc_m3,enc_m4,cmd_target,cmd_base,cmd_max_turn,note
1.724405,2026-07-13T18:03:25.737+08:00,angle_loop,30,22,0,0,22.0,30.0,,,,,,,,,,,,,,,
1.778463,2026-07-13T18:03:25.791+08:00,attitude,,,,,,,1.0,-2.0,7.0,,,,,,,,,,,,
1.913289,2026-07-13T18:03:25.926+08:00,motor_rpm,,,,,,,,,,0,0,0,0,,,,,,,,
1.915996,2026-07-13T18:03:25.929+08:00,angle_loop,30,22,0,0,22.0,30.0,,,,,,,,,,,,,,,
1.918902,2026-07-13T18:03:25.932+08:00,attitude,,,,,,,1.0,-2.0,10.0,,,,,,,,,,,,
1.920294,2026-07-13T18:03:25.933+08:00,encoder,,,,,,,,,,,,,,-343,-338,0,0,,,,
1.921931,2026-07-13T18:03:25.935+08:00,motor_rpm,,,,,,,,,,0,0,0,0,,,,,,,,
1.923872,2026-07-13T18:03:25.937+08:00,angle_loop,30,22,0,0,22.0,30.0,,,,,,,,,,,,,,,
1.97218,2026-07-13T18:03:25.985+08:00,attitude,,,,,,,1.0,-2.0,11.0,,,,,,,,,,,,
2.007449,2026-07-13T18:03:26.020+08:00,cmd_angle_stop,,,,,,,,,,,,,,,,,,,,,angle_stop
2.007505,2026-07-13T18:03:26.020+08:00,record_stop,,,,,,,,,,,,,,,,,,,,,recording stopped
