t_s,wall_time,kind,target_yaw,current_yaw,turn_rpm,base_rpm,yaw_meas_deg,yaw_target_deg,att_roll,att_pitch,att_yaw,rpm_m1,rpm_m2,rpm_m3,rpm_m4,enc_m1,enc_m2,enc_m3,enc_m4,cmd_target,cmd_base,cmd_max_turn,note
0.666781,2026-07-13T12:01:43.956+08:00,attitude,,,,,,,-6.0,0.0,-77.0,,,,,,,,,,,,
0.667463,2026-07-13T12:01:43.957+08:00,encoder,,,,,,,,,,,,,,-6317,-6601,0,0,,,,
0.773945,2026-07-13T12:01:44.063+08:00,motor_rpm,,,,,,,,,,0,0,0,0,,,,,,,,
0.775086,2026-07-13T12:01:44.064+08:00,angle_loop,90,91,0,0,91.0,90.0,,,,,,,,,,,,,,,
0.775638,2026-07-13T12:01:44.065+08:00,attitude,,,,,,,-6.0,0.0,-77.0,,,,,,,,,,,,
0.867469,2026-07-13T12:01:44.157+08:00,motor_rpm,,,,,,,,,,0,0,0,0,,,,,,,,
0.869126,2026-07-13T12:01:44.158+08:00,angle_loop,90,91,0,0,91.0,90.0,,,,,,,,,,,,,,,
0.869709,2026-07-13T12:01:44.159+08:00,attitude,,,,,,,-6.0,0.0,-77.0,,,,,,,,,,,,
0.870633,2026-07-13T12:01:44.160+08:00,encoder,,,,,,,,,,,,,,-6317,-6601,0,0,,,,
1.070322,2026-07-13T12:01:44.360+08:00,motor_rpm,,,,,,,,,,0,0,0,0,,,,,,,,
1.071424,2026-07-13T12:01:44.361+08:00,angle_loop,90,91,0,0,91.0,90.0,,,,,,,,,,,,,,,
1.071974,2026-07-13T12:01:44.361+08:00,attitude,,,,,,,-6.0,0.0,-78.0,,,,,,,,,,,,
1.072586,2026-07-13T12:01:44.362+08:00,motor_rpm,,,,,,,,,,0,0,0,0,,,,,,,,
1.073401,2026-07-13T12:01:44.363+08:00,angle_loop,90,91,0,0,91.0,90.0,,,,,,,,,,,,,,,
1.073899,2026-07-13T12:01:44.363+08:00,attitude,,,,,,,-6.0,0.0,-78.0,,,,,,,,,,,,
1.074508,2026-07-13T12:01:44.364+08:00,encoder,,,,,,,,,,,,,,-6317,-6601,0,0,,,,
1.163245,2026-07-13T12:01:44.452+08:00,motor_rpm,,,,,,,,,,0,0,0,0,,,,,,,,
1.164374,2026-07-13T12:01:44.454+08:00,angle_loop,90,91,0,0,91.0,90.0,,,,,,,,,,,,,,,
1.164928,2026-07-13T12:01:44.454+08:00,attitude,,,,,,,-6.0,0.0,-78.0,,,,,,,,,,,,
1.274258,2026-07-13T12:01:44.563+08:00,motor_rpm,,,,,,,,,,0,0,0,0,,,,,,,,
1.275354,2026-07-13T12:01:44.565+08:00,angle_loop,90,91,0,0,91.0,90.0,,,,,,,,,,,,,,,
1.275938,2026-07-13T12:01:44.565+08:00,attitude,,,,,,,-6.0,0.0,-78.0,,,,,,,,,,,,
1.276516,2026-07-13T12:01:44.566+08:00,encoder,,,,,,,,,,,,,,-6317,-6601,0,0,,,,
1.366971,2026-07-13T12:01:44.656+08:00,motor_rpm,,,,,,,,,,0,0,0,0,,,,,,,,
1.368229,2026-07-13T12:01:44.657+08:00,angle_loop,90,91,0,0,91.0,90.0,,,,,,,,,,,,,,,
1.368782,2026-07-13T12:01:44.658+08:00,attitude,,,,,,,-6.0,0.0,-78.0,,,,,,,,,,,,
1.568329,2026-07-13T12:01:44.858+08:00,motor_rpm,,,,,,,,,,0,0,0,0,,,,,,,,
1.569995,2026-07-13T12:01:44.859+08:00,angle_loop,90,91,0,0,91.0,90.0,,,,,,,,,,,,,,,
1.570606,2026-07-13T12:01:44.860+08:00,attitude,,,,,,,-6.0,0.0,-78.0,,,,,,,,,,,,
1.571191,2026-07-13T12:01:44.860+08:00,encoder,,,,,,,,,,,,,,-6317,-6601,0,0,,,,
1.571892,2026-07-13T12:01:44.861+08:00,motor_rpm,,,,,,,,,,0,0,0,0,,,,,,,,
1.572703,2026-07-13T12:01:44.862+08:00,angle_loop,90,91,0,0,91.0,90.0,,,,,,,,,,,,,,,
1.573532,2026-07-13T12:01:44.863+08:00,attitude,,,,,,,-6.0,0.0,-78.0,,,,,,,,,,,,
1.663807,2026-07-13T12:01:44.953+08:00,motor_rpm,,,,,,,,,,0,0,0,0,,,,,,,,
1.664941,2026-07-13T12:01:44.954+08:00,angle_loop,90,91,0,0,91.0,90.0,,,,,,,,,,,,,,,
1.66557,2026-07-13T12:01:44.955+08:00,attitude,,,,,,,-6.0,0.0,-79.0,,,,,,,,,,,,
1.666279,2026-07-13T12:01:44.955+08:00,encoder,,,,,,,,,,,,,,-6317,-6601,0,0,,,,
1.772763,2026-07-13T12:01:45.062+08:00,motor_rpm,,,,,,,,,,0,0,0,0,,,,,,,,
1.774051,2026-07-13T12:01:45.063+08:00,angle_loop,90,91,0,0,91.0,90.0,,,,,,,,,,,,,,,
1.774647,2026-07-13T12:01:45.064+08:00,attitude,,,,,,,-6.0,0.0,-79.0,,,,,,,,,,,,
1.867579,2026-07-13T12:01:45.157+08:00,motor_rpm,,,,,,,,,,0,0,0,0,,,,,,,,
1.868707,2026-07-13T12:01:45.158+08:00,angle_loop,90,91,0,0,91.0,90.0,,,,,,,,,,,,,,,
1.869301,2026-07-13T12:01:45.158+08:00,attitude,,,,,,,-6.0,0.0,-79.0,,,,,,,,,,,,
1.869911,2026-07-13T12:01:45.159+08:00,encoder,,,,,,,,,,,,,,-6317,-6601,0,0,,,,
1.960071,2026-07-13T12:01:45.249+08:00,motor_rpm,,,,,,,,,,0,0,0,0,,,,,,,,
1.961139,2026-07-13T12:01:45.250+08:00,angle_loop,90,91,0,0,91.0,90.0,,,,,,,,,,,,,,,
1.961722,2026-07-13T12:01:45.251+08:00,attitude,,,,,,,-6.0,0.0,-79.0,,,,,,,,,,,,
2.070161,2026-07-13T12:01:45.359+08:00,motor_rpm,,,,,,,,,,0,0,0,0,,,,,,,,
2.071378,2026-07-13T12:01:45.361+08:00,angle_loop,90,91,0,0,91.0,90.0,,,,,,,,,,,,,,,
2.071946,2026-07-13T12:01:45.361+08:00,attitude,,,,,,,-6.0,0.0,-79.0,,,,,,,,,,,,
2.072533,2026-07-13T12:01:45.362+08:00,encoder,,,,,,,,,,,,,,-6317,-6601,0,0,,,,
2.162657,2026-07-13T12:01:45.452+08:00,motor_rpm,,,,,,,,,,0,0,0,0,,,,,,,,
2.163998,2026-07-13T12:01:45.453+08:00,angle_loop,90,91,0,0,91.0,90.0,,,,,,,,,,,,,,,
2.164651,2026-07-13T12:01:45.454+08:00,attitude,,,,,,,-6.0,0.0,-79.0,,,,,,,,,,,,
2.272125,2026-07-13T12:01:45.561+08:00,motor_rpm,,,,,,,,,,0,0,0,0,,,,,,,,
2.273237,2026-07-13T12:01:45.562+08:00,angle_loop,90,91,0,0,91.0,90.0,,,,,,,,,,,,,,,
2.273788,2026-07-13T12:01:45.563+08:00,attitude,,,,,,,-6.0,0.0,-79.0,,,,,,,,,,,,
2.274441,2026-07-13T12:01:45.564+08:00,encoder,,,,,,,,,,,,,,-6317,-6601,0,0,,,,
2.366486,2026-07-13T12:01:45.656+08:00,motor_rpm,,,,,,,,,,0,0,0,0,,,,,,,,
2.36762,2026-07-13T12:01:45.657+08:00,angle_loop,90,91,0,0,91.0,90.0,,,,,,,,,,,,,,,
2.368184,2026-07-13T12:01:45.657+08:00,attitude,,,,,,,-6.0,0.0,-80.0,,,,,,,,,,,,
2.474742,2026-07-13T12:01:45.764+08:00,motor_rpm,,,,,,,,,,0,0,0,0,,,,,,,,
2.475967,2026-07-13T12:01:45.765+08:00,angle_loop,90,91,0,0,91.0,90.0,,,,,,,,,,,,,,,
2.47657,2026-07-13T12:01:45.766+08:00,attitude,,,,,,,-6.0,0.0,-80.0,,,,,,,,,,,,
2.477213,2026-07-13T12:01:45.766+08:00,encoder,,,,,,,,,,,,,,-6317,-6601,0,0,,,,
2.568868,2026-07-13T12:01:45.858+08:00,motor_rpm,,,,,,,,,,0,0,0,0,,,,,,,,
2.570434,2026-07-13T12:01:45.860+08:00,angle_loop,90,91,0,0,91.0,90.0,,,,,,,,,,,,,,,
2.570999,2026-07-13T12:01:45.860+08:00,attitude,,,,,,,-6.0,0.0,-80.0,,,,,,,,,,,,
2.662356,2026-07-13T12:01:45.952+08:00,motor_rpm,,,,,,,,,,0,0,0,0,,,,,,,,
2.663414,2026-07-13T12:01:45.953+08:00,angle_loop,90,91,0,0,91.0,90.0,,,,,,,,,,,,,,,
2.663965,2026-07-13T12:01:45.953+08:00,attitude,,,,,,,-6.0,0.0,-80.0,,,,,,,,,,,,
2.664566,2026-07-13T12:01:45.954+08:00,encoder,,,,,,,,,,,,,,-6317,-6601,0,0,,,,
2.706802,2026-07-13T12:01:45.996+08:00,record_stop,,,,,,,,,,,,,,,,,,,,,recording stopped
