t_s,wall_time,kind,target_yaw,current_yaw,turn_rpm,base_rpm,yaw_meas_deg,yaw_target_deg,att_roll,att_pitch,att_yaw,rpm_m1,rpm_m2,rpm_m3,rpm_m4,enc_m1,enc_m2,enc_m3,enc_m4,cmd_target,cmd_base,cmd_max_turn,note
6e-06,2026-07-13T12:01:43.289+08:00,record_start,,,,,,,,,,,,,,,,,,,,,recording started
0.050226,2026-07-13T12:01:43.339+08:00,motor_rpm,,,,,,,,,,0,0,0,0,,,,,,,,
0.05162,2026-07-13T12:01:43.341+08:00,angle_loop,90,91,0,0,91.0,90.0,,,,,,,,,,,,,,,
0.052482,2026-07-13T12:01:43.342+08:00,attitude,,,,,,,-6.0,0.0,-76.0,,,,,,,,,,,,
0.053184,2026-07-13T12:01:43.342+08:00,encoder,,,,,,,,,,,,,,-6317,-6601,0,0,,,,
0.133456,2026-07-13T12:01:43.423+08:00,motor_rpm,,,,,,,,,,0,0,0,0,,,,,,,,
0.135585,2026-07-13T12:01:43.425+08:00,angle_loop,90,91,0,0,91.0,90.0,,,,,,,,,,,,,,,
0.136166,2026-07-13T12:01:43.425+08:00,attitude,,,,,,,-6.0,0.0,-77.0,,,,,,,,,,,,
0.22709,2026-07-13T12:01:43.516+08:00,motor_rpm,,,,,,,,,,0,0,0,0,,,,,,,,
0.228793,2026-07-13T12:01:43.518+08:00,angle_loop,90,91,0,0,91.0,90.0,,,,,,,,,,,,,,,
0.22938,2026-07-13T12:01:43.519+08:00,attitude,,,,,,,-6.0,0.0,-77.0,,,,,,,,,,,,
0.230024,2026-07-13T12:01:43.519+08:00,encoder,,,,,,,,,,,,,,-6317,-6601,0,0,,,,
0.320149,2026-07-13T12:01:43.609+08:00,motor_rpm,,,,,,,,,,0,0,0,0,,,,,,,,
0.32135,2026-07-13T12:01:43.611+08:00,angle_loop,90,91,0,0,91.0,90.0,,,,,,,,,,,,,,,
0.32194,2026-07-13T12:01:43.611+08:00,attitude,,,,,,,-6.0,0.0,-77.0,,,,,,,,,,,,
0.431572,2026-07-13T12:01:43.721+08:00,motor_rpm,,,,,,,,,,0,0,0,0,,,,,,,,
0.43291,2026-07-13T12:01:43.722+08:00,angle_loop,90,91,0,0,91.0,90.0,,,,,,,,,,,,,,,
0.43354,2026-07-13T12:01:43.723+08:00,attitude,,,,,,,-6.0,0.0,-77.0,,,,,,,,,,,,
0.434259,2026-07-13T12:01:43.723+08:00,encoder,,,,,,,,,,,,,,-6317,-6601,0,0,,,,
0.524127,2026-07-13T12:01:43.813+08:00,motor_rpm,,,,,,,,,,0,0,0,0,,,,,,,,
0.52602,2026-07-13T12:01:43.815+08:00,angle_loop,90,91,0,0,91.0,90.0,,,,,,,,,,,,,,,
0.526942,2026-07-13T12:01:43.816+08:00,attitude,,,,,,,-6.0,0.0,-77.0,,,,,,,,,,,,
0.664887,2026-07-13T12:01:43.954+08:00,motor_rpm,,,,,,,,,,0,0,0,0,,,,,,,,
0.666061,2026-07-13T12:01:43.955+08:00,angle_loop,90,91,0,0,91.0,90.0,,,,,,,,,,,,,,,
