t_s,wall_time,kind,target_yaw,current_yaw,turn_rpm,base_rpm,yaw_meas_deg,yaw_target_deg,att_roll,att_pitch,att_yaw,rpm_m1,rpm_m2,rpm_m3,rpm_m4,enc_m1,enc_m2,enc_m3,enc_m4,cmd_target,cmd_base,cmd_max_turn,note
5e-06,2026-07-13T15:24:48.637+08:00,record_start,,,,,,,,,,,,,,,,,,,,,recording started
0.000556,2026-07-13T15:24:48.637+08:00,cmd_set_angle,,,,,,,,,,,,,,,,,,30,0,0,set_angle
0.018475,2026-07-13T15:24:48.655+08:00,attitude,,,,,,,0.0,-2.0,80.0,,,,,,,,,,,,
0.020263,2026-07-13T15:24:48.657+08:00,encoder,,,,,,,,,,,,,,-4428,-4480,0,0,,,,
0.021001,2026-07-13T15:24:48.658+08:00,motor_rpm,,,,,,,,,,0,0,0,0,,,,,,,,
0.021876,2026-07-13T15:24:48.659+08:00,angle_loop,30,28,0,0,28.0,30.0,,,,,,,,,,,,,,,
0.128707,2026-07-13T15:24:48.766+08:00,attitude,,,,,,,0.0,-2.0,80.0,,,,,,,,,,,,
0.12987,2026-07-13T15:24:48.767+08:00,motor_rpm,,,,,,,,,,0,0,0,0,,,,,,,,
0.130772,2026-07-13T15:24:48.768+08:00,angle_loop,30,28,0,0,28.0,30.0,,,,,,,,,,,,,,,
0.222722,2026-07-13T15:24:48.860+08:00,attitude,,,,,,,0.0,-2.0,80.0,,,,,,,,,,,,
0.223709,2026-07-13T15:24:48.861+08:00,encoder,,,,,,,,,,,,,,-4428,-4480,0,0,,,,
0.224364,2026-07-13T15:24:48.861+08:00,motor_rpm,,,,,,,,,,0,0,0,0,,,,,,,,
0.225174,2026-07-13T15:24:48.862+08:00,angle_loop,30,28,0,0,28.0,30.0,,,,,,,,,,,,,,,
0.691164,2026-07-13T15:24:49.328+08:00,attitude,,,,,,,0.0,-2.0,44.0,,,,,,,,,,,,
0.692235,2026-07-13T15:24:49.329+08:00,motor_rpm,,,,,,,,,,32,33,0,0,,,,,,,,
0.693396,2026-07-13T15:24:49.330+08:00,angle_loop,30,29,0,0,29.0,30.0,,,,,,,,,,,,,,,
0.783836,2026-07-13T15:24:49.421+08:00,attitude,,,,,,,2.0,-4.0,41.0,,,,,,,,,,,,
0.784863,2026-07-13T15:24:49.422+08:00,encoder,,,,,,,,,,,,,,-4803,-4863,0,0,,,,
0.785545,2026-07-13T15:24:49.422+08:00,motor_rpm,,,,,,,,,,13,16,0,0,,,,,,,,
0.786365,2026-07-13T15:24:49.423+08:00,angle_loop,30,29,0,0,29.0,30.0,,,,,,,,,,,,,,,
0.877633,2026-07-13T15:24:49.514+08:00,attitude,,,,,,,3.0,-3.0,41.0,,,,,,,,,,,,
0.878765,2026-07-13T15:24:49.516+08:00,motor_rpm,,,,,,,,,,1,2,0,0,,,,,,,,
0.879601,2026-07-13T15:24:49.516+08:00,angle_loop,30,29,0,0,29.0,30.0,,,,,,,,,,,,,,,
0.985763,2026-07-13T15:24:49.623+08:00,attitude,,,,,,,1.0,-2.0,41.0,,,,,,,,,,,,
0.986861,2026-07-13T15:24:49.624+08:00,encoder,,,,,,,,,,,,,,-4801,-4862,0,0,,,,
0.987561,2026-07-13T15:24:49.624+08:00,motor_rpm,,,,,,,,,,0,0,0,0,,,,,,,,
0.988416,2026-07-13T15:24:49.625+08:00,angle_loop,30,29,0,0,29.0,30.0,,,,,,,,,,,,,,,
1.079196,2026-07-13T15:24:49.716+08:00,attitude,,,,,,,1.0,-2.0,41.0,,,,,,,,,,,,
1.080984,2026-07-13T15:24:49.718+08:00,motor_rpm,,,,,,,,,,0,0,0,0,,,,,,,,
1.08203,2026-07-13T15:24:49.719+08:00,angle_loop,30,29,0,0,29.0,30.0,,,,,,,,,,,,,,,
1.189765,2026-07-13T15:24:49.827+08:00,attitude,,,,,,,0.0,-2.0,41.0,,,,,,,,,,,,
1.190801,2026-07-13T15:24:49.828+08:00,encoder,,,,,,,,,,,,,,-4801,-4862,0,0,,,,
1.191488,2026-07-13T15:24:49.828+08:00,motor_rpm,,,,,,,,,,0,0,0,0,,,,,,,,
1.19234,2026-07-13T15:24:49.829+08:00,angle_loop,30,29,0,0,29.0,30.0,,,,,,,,,,,,,,,
1.282492,2026-07-13T15:24:49.919+08:00,attitude,,,,,,,0.0,-2.0,41.0,,,,,,,,,,,,
1.283509,2026-07-13T15:24:49.920+08:00,motor_rpm,,,,,,,,,,0,0,0,0,,,,,,,,
1.284345,2026-07-13T15:24:49.921+08:00,angle_loop,30,29,0,0,29.0,30.0,,,,,,,,,,,,,,,
1.377278,2026-07-13T15:24:50.014+08:00,attitude,,,,,,,0.0,-2.0,40.0,,,,,,,,,,,,
1.37835,2026-07-13T15:24:50.015+08:00,encoder,,,,,,,,,,,,,,-4801,-4862,0,0,,,,
1.37918,2026-07-13T15:24:50.016+08:00,motor_rpm,,,,,,,,,,0,0,0,0,,,,,,,,
1.380075,2026-07-13T15:24:50.017+08:00,angle_loop,30,29,0,0,29.0,30.0,,,,,,,,,,,,,,,
1.484975,2026-07-13T15:24:50.122+08:00,attitude,,,,,,,0.0,-2.0,40.0,,,,,,,,,,,,
1.486223,2026-07-13T15:24:50.123+08:00,motor_rpm,,,,,,,,,,0,0,0,0,,,,,,,,
1.487037,2026-07-13T15:24:50.124+08:00,angle_loop,30,29,0,0,29.0,30.0,,,,,,,,,,,,,,,
1.580962,2026-07-13T15:24:50.218+08:00,attitude,,,,,,,0.0,-2.0,40.0,,,,,,,,,,,,
1.581989,2026-07-13T15:24:50.219+08:00,encoder,,,,,,,,,,,,,,-4801,-4862,0,0,,,,
1.582675,2026-07-13T15:24:50.219+08:00,motor_rpm,,,,,,,,,,0,0,0,0,,,,,,,,
1.58346,2026-07-13T15:24:50.220+08:00,angle_loop,30,29,0,0,29.0,30.0,,,,,,,,,,,,,,,
1.674186,2026-07-13T15:24:50.311+08:00,attitude,,,,,,,0.0,-2.0,40.0,,,,,,,,,,,,
1.675277,2026-07-13T15:24:50.312+08:00,motor_rpm,,,,,,,,,,0,0,0,0,,,,,,,,
1.676122,2026-07-13T15:24:50.313+08:00,angle_loop,30,29,0,0,29.0,30.0,,,,,,,,,,,,,,,
1.782738,2026-07-13T15:24:50.420+08:00,attitude,,,,,,,0.0,-2.0,40.0,,,,,,,,,,,,
1.783757,2026-07-13T15:24:50.421+08:00,encoder,,,,,,,,,,,,,,-4801,-4862,0,0,,,,
1.784444,2026-07-13T15:24:50.421+08:00,motor_rpm,,,,,,,,,,0,0,0,0,,,,,,,,
1.785248,2026-07-13T15:24:50.422+08:00,angle_loop,30,29,0,0,29.0,30.0,,,,,,,,,,,,,,,
