t_s,wall_time,kind,target_yaw,current_yaw,turn_rpm,base_rpm,yaw_meas_deg,yaw_target_deg,att_roll,att_pitch,att_yaw,rpm_m1,rpm_m2,rpm_m3,rpm_m4,enc_m1,enc_m2,enc_m3,enc_m4,cmd_target,cmd_base,cmd_max_turn,note
1.891509,2026-07-13T15:24:50.528+08:00,attitude,,,,,,,0.0,-2.0,40.0,,,,,,,,,,,,
1.89271,2026-07-13T15:24:50.530+08:00,motor_rpm,,,,,,,,,,0,0,0,0,,,,,,,,
1.893587,2026-07-13T15:24:50.530+08:00,angle_loop,30,29,0,0,29.0,30.0,,,,,,,,,,,,,,,
1.985602,2026-07-13T15:24:50.622+08:00,attitude,,,,,,,0.0,-2.0,39.0,,,,,,,,,,,,
1.987139,2026-07-13T15:24:50.624+08:00,encoder,,,,,,,,,,,,,,-4801,-4862,0,0,,,,
1.98782,2026-07-13T15:24:50.625+08:00,motor_rpm,,,,,,,,,,0,0,0,0,,,,,,,,
1.988936,2026-07-13T15:24:50.626+08:00,angle_loop,30,29,0,0,29.0,30.0,,,,,,,,,,,,,,,
2.079708,2026-07-13T15:24:50.717+08:00,attitude,,,,,,,0.0,-2.0,39.0,,,,,,,,,,,,
2.080801,2026-07-13T15:24:50.718+08:00,motor_rpm,,,,,,,,,,0,0,0,0,,,,,,,,
2.081682,2026-07-13T15:24:50.718+08:00,angle_loop,30,29,0,0,29.0,30.0,,,,,,,,,,,,,,,
2.189577,2026-07-13T15:24:50.826+08:00,attitude,,,,,,,0.0,-2.0,39.0,,,,,,,,,,,,
2.190606,2026-07-13T15:24:50.827+08:00,encoder,,,,,,,,,,,,,,-4801,-4862,0,0,,,,
2.191277,2026-07-13T15:24:50.828+08:00,motor_rpm,,,,,,,,,,0,0,0,0,,,,,,,,
2.192126,2026-07-13T15:24:50.829+08:00,angle_loop,30,29,0,0,29.0,30.0,,,,,,,,,,,,,,,
2.218202,2026-07-13T15:24:50.855+08:00,cmd_angle_stop,,,,,,,,,,,,,,,,,,,,,angle_stop
2.218232,2026-07-13T15:24:50.855+08:00,record_stop,,,,,,,,,,,,,,,,,,,,,recording stopped
