t_s,wall_time,kind,target_yaw,current_yaw,turn_rpm,base_rpm,yaw_meas_deg,yaw_target_deg,att_roll,att_pitch,att_yaw,rpm_m1,rpm_m2,rpm_m3,rpm_m4,enc_m1,enc_m2,enc_m3,enc_m4,cmd_target,cmd_base,cmd_max_turn,note
6e-06,2026-07-13T10:24:42.313+08:00,record_start,,,,,,,,,,,,,,,,,,,,,recording started
0.023446,2026-07-13T10:24:42.336+08:00,attitude,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,
0.024453,2026-07-13T10:24:42.337+08:00,angle_loop,0,0,0,0,0.0,0.0,,,,,,,,,,,,,,,
0.117888,2026-07-13T10:24:42.431+08:00,attitude,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,
0.119475,2026-07-13T10:24:42.432+08:00,encoder,,,,,,,,,,,,,,0,0,0,0,,,,
0.1213,2026-07-13T10:24:42.434+08:00,angle_loop,0,0,0,0,0.0,0.0,,,,,,,,,,,,,,,
0.212146,2026-07-13T10:24:42.525+08:00,attitude,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,
0.212974,2026-07-13T10:24:42.526+08:00,angle_loop,0,0,0,0,0.0,0.0,,,,,,,,,,,,,,,
0.322582,2026-07-13T10:24:42.635+08:00,attitude,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,
0.323456,2026-07-13T10:24:42.636+08:00,encoder,,,,,,,,,,,,,,0,0,0,0,,,,
0.324157,2026-07-13T10:24:42.637+08:00,angle_loop,0,0,0,0,0.0,0.0,,,,,,,,,,,,,,,
0.416348,2026-07-13T10:24:42.729+08:00,attitude,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,
0.417299,2026-07-13T10:24:42.730+08:00,angle_loop,0,0,0,0,0.0,0.0,,,,,,,,,,,,,,,
0.730239,2026-07-13T10:24:43.043+08:00,attitude,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,
0.73147,2026-07-13T10:24:43.044+08:00,encoder,,,,,,,,,,,,,,0,0,0,0,,,,
0.73219,2026-07-13T10:24:43.045+08:00,angle_loop,0,0,0,0,0.0,0.0,,,,,,,,,,,,,,,
0.732708,2026-07-13T10:24:43.045+08:00,attitude,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,
0.733253,2026-07-13T10:24:43.046+08:00,angle_loop,0,0,0,0,0.0,0.0,,,,,,,,,,,,,,,
0.84075,2026-07-13T10:24:43.153+08:00,attitude,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,
0.841603,2026-07-13T10:24:43.154+08:00,encoder,,,,,,,,,,,,,,0,0,0,0,,,,
0.842289,2026-07-13T10:24:43.155+08:00,angle_loop,0,0,0,0,0.0,0.0,,,,,,,,,,,,,,,
0.933917,2026-07-13T10:24:43.247+08:00,attitude,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,
0.934805,2026-07-13T10:24:43.248+08:00,angle_loop,0,0,0,0,0.0,0.0,,,,,,,,,,,,,,,
1.043447,2026-07-13T10:24:43.356+08:00,attitude,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,
1.044338,2026-07-13T10:24:43.357+08:00,encoder,,,,,,,,,,,,,,0,0,0,0,,,,
1.04507,2026-07-13T10:24:43.358+08:00,angle_loop,0,0,0,0,0.0,0.0,,,,,,,,,,,,,,,
1.138062,2026-07-13T10:24:43.451+08:00,attitude,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,
1.13908,2026-07-13T10:24:43.452+08:00,angle_loop,0,0,0,0,0.0,0.0,,,,,,,,,,,,,,,
1.248479,2026-07-13T10:24:43.561+08:00,attitude,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,
1.249235,2026-07-13T10:24:43.562+08:00,encoder,,,,,,,,,,,,,,0,0,0,0,,,,
1.249953,2026-07-13T10:24:43.563+08:00,angle_loop,0,0,0,0,0.0,0.0,,,,,,,,,,,,,,,
1.34203,2026-07-13T10:24:43.655+08:00,attitude,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,
1.342847,2026-07-13T10:24:43.656+08:00,angle_loop,0,0,0,0,0.0,0.0,,,,,,,,,,,,,,,
1.435528,2026-07-13T10:24:43.748+08:00,attitude,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,
1.437201,2026-07-13T10:24:43.750+08:00,encoder,,,,,,,,,,,,,,0,0,0,0,,,,
1.437918,2026-07-13T10:24:43.751+08:00,angle_loop,0,0,0,0,0.0,0.0,,,,,,,,,,,,,,,
1.543459,2026-07-13T10:24:43.856+08:00,attitude,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,
1.544271,2026-07-13T10:24:43.857+08:00,angle_loop,0,0,0,0,0.0,0.0,,,,,,,,,,,,,,,
1.77997,2026-07-13T10:24:44.093+08:00,attitude,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,
1.780935,2026-07-13T10:24:44.094+08:00,encoder,,,,,,,,,,,,,,0,0,0,0,,,,
1.781628,2026-07-13T10:24:44.094+08:00,angle_loop,0,0,0,0,0.0,0.0,,,,,,,,,,,,,,,
1.857846,2026-07-13T10:24:44.171+08:00,attitude,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,
1.858711,2026-07-13T10:24:44.171+08:00,angle_loop,0,0,0,0,0.0,0.0,,,,,,,,,,,,,,,
